SC/SSD	SETTORE CONCORSUALE	Numero articoli 10 anni	Numero citazioni 15 anni	Indice H 15 anni	Numero articoli 5 anni	Numero citazioni 10 anni	Indice H 10 anni
07/H5	CLINICHE CHIRURGICA E OSTETRICA VETERINARIA	10	56	6	8	32	3
07/I1	MICROBIOLOGIA AGRARIA	29	637	14	12	220	8
08/A1	IDRAULICA, IDROLOGIA, COSTRUZIONI IDRAULICHE E MARITTIME	10	114	6	6	71	5
08/A2	"INGEGNERIA SANITARIA - AMBIENTALE, INGEGNERIA DEGLI IDROCARBURI E
FLUIDI NEL SOTTOSUOLO, DELLA SICUREZZA E PROTEZIONE IN AMBITO CIVILE"	11	240	8	8	95	6
08/A2-ING-IND/28	"INGEGNERIA SANITARIA - AMBIENTALE, INGEGNERIA DEGLI IDROCARBURI E FLUIDI NEL SOTTOSUOLO, DELLA SICUREZZA E PROTEZIONE IN AMBITO
CIVILE"	8	28	3	3	8	2
08/A2-ING-IND/29	"INGEGNERIA SANITARIA - AMBIENTALE, INGEGNERIA DEGLI IDROCARBURI E
FLUIDI NEL SOTTOSUOLO, DELLA SICUREZZA E PROTEZIONE IN AMBITO"	3	50	3	2	15	2
	CIVILE						
08/A3	INFRASTRUTTURE E SISTEMI DI TRASPORTO, ESTIMO E VALUTAZIONE	3	30	3	2	23	2
08/A4	GEOMATICA	5	35	3	3	20	2
08/B1	GEOTECNICA	7	54	4	4	25	3
08/B2	SCIENZA DELLE COSTRUZIONI	9	149	7	6	57	4
08/B3	TECNICA DELLE COSTRUZIONI	13	129	6	3	35	4
09/A1	INGEGNERIA AERONAUTICA, AEROSPAZIALE E NAVALE	12	142	7	5	37	4
09/A1-ING-IND/01	INGEGNERIA AERONAUTICA, AEROSPAZIALE E NAVALE	2	4	1	1	3	1
09/A1-ING-IND/02	INGEGNERIA AERONAUTICA, AEROSPAZIALE E NAVALE	3	26	2	2	10	1
09/A2	MECCANICA APPLICATA ALLE MACCHINE	11	121	6	6	95	5
09/A3	PROGETTAZIONE INDUSTRIALE, COSTRUZIONI MECCANICHE E METALLURGIA	16	165	7	7	55	5
09/A3-ING-IND/15	PROGETTAZIONE INDUSTRIALE, COSTRUZIONI MECCANICHE E METALLURGIA	13	104	6	--	--	--
09/B1	TECNOLOGIE E SISTEMI DI LAVORAZIONE	13	213	8	8	42	4
09/B2	IMPIANTI INDUSTRIALI MECCANICI	11	112	6	7	70	5
09/B3	INGEGNERIA ECONOMICO-GESTIONALE	10	170	6	6	64	4
09/C1	MACCHINE E SISTEMI PER L'ENERGIA E L'AMBIENTE	10	159	7	6	60	5
09/C2	FISICA TECNICA E INGEGNERIA NUCLEARE	12	150	6	6	55	4
09/D1	SCIENZA E TECNOLOGIA DEI MATERIALI	22	397	11	11	155	8
09/D2	SISTEMI, METODI E TECNOLOGIE DELL'INGEGNERIA CHIMICA E DI PROCESSO	21	422	12	14	225	9
09/D3	IMPIANTI E PROCESSI INDUSTRIALI CHIMICI	20	529	14	15	290	9
09/D3-ING-IND/25	IMPIANTI E PROCESSI INDUSTRIALI CHIMICI	--	--	--	14	190	9
09/E1	ELETTROTECNICA	18	279	9	12	198	7
